K,L_over_D,D,total_windows,ROSS (greedy)_savings_mean,ROSS (greedy)_savings_std,ROSS (greedy)_overhead_opt_mean,ROSS (greedy)_overhead_opt_std,ROSS (uniform)_savings_mean,ROSS (uniform)_savings_std,ROSS (uniform)_overhead_opt_mean,ROSS (uniform)_overhead_opt_std,Uniform Progress_savings_mean,Uniform Progress_savings_std,Uniform Progress_overhead_opt_mean,Uniform Progress_overhead_opt_std,Greedy_savings_mean,Greedy_savings_std,Greedy_overhead_opt_mean,Greedy_overhead_opt_std,OPT_savings_mean,OPT_savings_std,OPT_overhead_opt_mean,OPT_overhead_opt_std
1.0,0.5,200.0,2550,-3.6137254901960785,6.476943106363969,3.6137254901960785,6.476943106363969,-65.91372549019607,77.3419476767585,65.91372549019607,77.3419476767585,-66.04901960784314,77.65627854254959,66.04901960784314,77.65627854254959,-5.1568627450980395,8.86206400298067,5.1568627450980395,8.86206400298067,0.0,0.0,0.0,0.0
2.0,0.5,200.0,2550,27.780392156862746,21.16114196488407,14.407952960094708,21.40497381290556,1.6423529411764706,58.07561779868521,42.707359364415034,44.42343682784133,1.5647058823529412,58.217987327310674,42.767172969903484,44.45066259907241,31.24607843137255,21.745378916660492,7.561485915412095,13.09737162446422,36.044117647058826,19.613808528834145,0.0,0.0
3.0,0.5,200.0,2550,38.24509803921568,27.7920039311081,23.75141045604115,38.07995207775505,24.160784313725486,51.683040503027435,35.12673467400477,37.95051846590438,24.102614379084965,51.76744265971304,35.17763147824105,37.82889957248695,43.38039215686273,28.61834289704787,9.091284516651234,18.52510683693124,48.058823529411754,26.151744705112186,0.0,0.0
4.0,0.5,200.0,2550,43.477450980392156,31.147934992336374,32.39462105672848,54.42744114914003,35.49901960784314,48.394551822469175,31.797191317456992,39.03056846601501,35.37156862745098,48.55082919154385,31.958942748807672,38.859566058946655,49.44754901960784,32.13006378603466,10.192328228046664,23.042598936975175,54.06617647058823,29.42071279325122,0.0,0.0
5.0,0.5,200.0,2550,46.61686274509804,33.169746875800705,40.621714814061356,70.57386178545535,42.24,46.503666817262705,30.4323910561743,43.00555683614883,42.13294117647059,46.624320561484524,30.594654488173997,42.77859417731154,53.0878431372549,34.25233195517571,11.03975284754673,26.782721414000612,57.67058823529412,31.38209364613463,0.0,0.0
6.0,0.5,200.0,2550,48.709803921568636,34.52038947497604,48.572618423144164,86.60710198593132,46.734705882352955,45.24397359057068,30.020651941835915,48.13369850592888,46.640522875817,45.341627131421504,30.193119261853543,47.87943728466665,55.51470588235294,35.67226838104696,11.720694780311838,29.937259522377143,60.07352941176472,32.689680881390245,0.0,0.0
7.0,0.5,200.0,2550,50.2047619047619,35.4863241406283,56.32682073762632,102.57516034034,49.9435294117647,44.34705533488086,30.170945245326696,53.77409622557397,49.86022408963585,44.426298393016786,30.356025667041028,53.50508103155186,57.248179271708665,36.68869220537263,12.284741019319087,32.6458273963457,61.789915966386545,33.62367176371568,0.0,0.0
8.0,0.5,200.0,2550,51.325980392156865,36.211371223713364,63.93384515277382,118.5048602441923,52.36495098039216,43.6545717317881,30.65783990191387,59.66395789507404,52.275,43.74031531463313,30.87811973641865,59.38364546324465,58.54828431372549,37.452102132781064,12.762710262297583,35.00646027707176,63.07720588235294,34.324164925459755,0.0,0.0
9.0,0.5,200.0,2550,52.19803921568627,36.77562830345568,71.42663180454878,134.41180315395815,54.24971677559914,43.10908305869393,31.391213294438305,65.68446116418416,54.15315904139434,43.2070922330879,31.642743075354705,65.39319177248991,59.55947712418301,38.04647216459163,13.175000073423897,37.08939350688588,64.07843137254902,34.86899294014959,0.0,0.0
10.0,0.5,200.0,2550,52.895686274509806,37.22723308752017,78.82819302406055,150.30538456426268,55.74333333333333,42.69612455052551,32.31198674011697,71.77024737812971,55.655686274509804,42.78072267239258,32.578656926078835,71.47479044937272,60.36843137254902,38.52233224836125,13.535766060977773,38.94633440421701,64.87941176470588,35.30485535190146,0.0,0.0
