K,L_over_D,D,total_windows,ROSS (greedy)_savings_mean,ROSS (greedy)_savings_std,ROSS (greedy)_overhead_opt_mean,ROSS (greedy)_overhead_opt_std,ROSS (uniform)_savings_mean,ROSS (uniform)_savings_std,ROSS (uniform)_overhead_opt_mean,ROSS (uniform)_overhead_opt_std,Uniform Progress_savings_mean,Uniform Progress_savings_std,Uniform Progress_overhead_opt_mean,Uniform Progress_overhead_opt_std,Greedy_savings_mean,Greedy_savings_std,Greedy_overhead_opt_mean,Greedy_overhead_opt_std,OPT_savings_mean,OPT_savings_std,OPT_overhead_opt_mean,OPT_overhead_opt_std
1.0,0.8,125.0,2550,-0.013858823529410456,0.009929737007960644,0.013858823529410456,0.009929737007960644,-0.013858823529410456,0.009929737007960644,0.013858823529410456,0.009929737007960644,-0.02515686274509826,0.04474628806996115,0.02515686274509826,0.04474628806996115,-0.002666666666668031,0.004422166387142795,0.002666666666668031,0.004422166387142795,0.0,0.0,0.0,0.0
2.0,0.8,125.0,2550,16.280184313725492,13.537574469418372,25.537628903135424,19.030555452229564,16.280184313725492,13.537574469418372,25.537628903135424,19.030555452229564,29.689549019607846,21.027858281676327,1.0415708606859273,2.6697262785251836,25.708117647058824,23.057612582949147,6.848971528481166,14.857354553953357,30.294117647058822,21.25219169103351,0.0,0.0
3.0,0.8,125.0,2550,23.148588235294124,19.403692331799594,44.256651660864605,34.51255858487113,23.148588235294124,19.403692331799594,44.256651660864605,34.51255858487113,39.594450980392146,28.034950711335846,1.8776051932046707,4.99873218825952,34.27837908496731,30.74313335571568,11.285416092083038,25.898870780235708,40.39215686274509,28.336255588044672,0.0,0.0
4.0,0.8,125.0,2550,27.331627450980395,23.01838033131118,58.936796208521564,47.3815842112464,27.331627450980395,23.01838033131118,58.936796208521564,47.3815842112464,44.54690196078432,31.53849886716725,2.6153733572714803,7.138257078781997,38.56350980392157,34.58589375877167,14.60319911893311,34.971590919640946,45.44117647058823,31.878287536550264,0.0,0.0
5.0,0.8,125.0,2550,30.289145098039217,25.60224055403725,70.83383146018917,58.296371285776075,30.289145098039217,25.60224055403725,70.83383146018917,58.296371285776075,47.51837254901961,33.64062814891191,3.288421920471299,9.152861719150216,41.13458823529411,36.89155000393986,17.259519436014536,42.78947114594544,48.470588235294116,34.00350670565361,0.0,0.0
6.0,0.8,125.0,2550,32.1650954248366,27.282546694087728,82.73610461630226,69.31513111048852,32.1650954248366,27.282546694087728,82.73610461630226,69.31513111048852,49.499352941176475,35.042047799496345,3.914806114109023,11.079051619092729,42.848640522875826,38.42865416849686,19.47471980754148,49.72566374146763,50.49019607843138,35.42031948505585,0.0,0.0
7.0,0.8,125.0,2550,33.795756862745094,28.790885662213896,92.29602434237893,78.44465488951195,33.795756862745094,28.790885662213896,92.29602434237893,78.44465488951195,50.91433893557422,36.0430618910958,4.505651137673161,12.939699637047003,44.07296358543416,39.526585715085375,21.37348511756035,56.00489913213516,51.9327731092437,36.4323286132003,0.0,0.0
8.0,0.8,125.0,2550,34.94859607843137,29.865356952029575,102.08975925464121,87.81446301579058,34.94859607843137,29.865356952029575,102.08975925464121,87.81446301579058,51.975578431372554,36.79382248752974,5.0683958850051605,14.75004863798892,44.99120588235294,40.350034375264954,23.03377082236917,61.77430299516367,53.01470588235294,37.19133545930864,0.0,0.0
9.0,0.8,125.0,2550,35.89123660130717,30.76426594739817,111.29022090960768,96.95109724008378,35.89123660130717,30.76426594739817,111.29022090960768,96.95109724008378,52.80098692810457,37.377747411275365,5.608298263638106,16.520708432660488,45.70539433551199,40.990494444425835,24.50776504009689,67.13575297903218,53.8562091503268,37.7816741173929,0.0,0.0
10.0,0.8,125.0,2550,36.775631372549014,31.57611811091271,119.22813870697163,104.90630391753757,36.775631372549014,31.57611811091271,119.22813870697163,104.90630391753757,53.4613137254902,37.84488735951684,6.129228724716364,18.259315975656186,46.27674509803921,41.502862499833945,25.832196810555715,72.16274762233634,54.529411764705884,38.25394504386032,0.0,0.0
