L_over_D,D,total_windows,ROSS (greedy)_savings_mean,ROSS (greedy)_savings_std,ROSS (greedy)_overhead_opt_mean,ROSS (greedy)_overhead_opt_std,ROSS (uniform)_savings_mean,ROSS (uniform)_savings_std,ROSS (uniform)_overhead_opt_mean,ROSS (uniform)_overhead_opt_std,Uniform Progress_savings_mean,Uniform Progress_savings_std,Uniform Progress_overhead_opt_mean,Uniform Progress_overhead_opt_std,Greedy_savings_mean,Greedy_savings_std,Greedy_overhead_opt_mean,Greedy_overhead_opt_std,OPT_savings_mean,OPT_savings_std,OPT_overhead_opt_mean,OPT_overhead_opt_std
0.4,250.0,2550,48.39578431372549,32.373300147252024,55.21914051909578,88.80084360698719,59.11421568627451,28.839194273516668,13.097168638615514,32.434213467029295,59.09188235294117,28.823406630550814,13.208692533429849,32.39615129181243,59.61350980392156,31.64166990763954,5.5890757013806756,20.778219595289908,62.37019607843137,28.74072968974184,0.0,0.0
0.45,222.0,2550,47.81286274509804,32.923391958897554,44.919472798632476,79.53253668503362,56.95676470588235,30.049840545130586,10.945721533720427,31.088850736835088,56.936117647058836,30.034275945892258,11.04890856909547,31.05904712137956,56.559254901960784,32.79501316457179,7.102942395833923,26.401806448770657,59.72392156862745,30.14354703346231,0.0,0.0
0.5,200.0,2550,47.3034705882353,33.044275507829944,38.13621684392539,68.19461763153627,55.33795294117647,31.199626568368227,8.990498289650938,27.046472723052847,55.32468627450981,31.17198350265526,9.091283172723116,27.019613790686535,54.11686274509804,34.25595213717316,7.44125483208431,25.416908886355785,57.67058823529412,31.38209364613463,0.0,0.0
0.55,182.0,2550,45.62896078431372,33.0292481956676,34.0803202299897,58.73965774036562,52.8970862745098,31.84718684317234,8.611789890289453,23.287343671735695,52.9178431372549,31.798182036684725,8.641780123938156,23.275387441085446,51.070627450980396,35.29137882279677,8.445026293481774,26.369248153152302,55.22196078431372,32.16829501230151,0.0,0.0
0.6,167.0,2550,35.28196470588236,24.21922006367818,73.18062290870809,55.637696711468806,35.28196470588236,24.21922006367818,73.18062290870809,55.637696711468806,50.85594117647059,32.46054135855805,6.405190260850965,19.26002911460839,47.922215686274505,35.76454414136652,9.962717247000654,30.249711230594716,52.665098039215685,32.77982158923018,0.0,0.0
0.65,154.0,2550,33.73264705882353,24.87259703110053,72.18582127528033,55.94782010299625,33.73264705882353,24.87259703110053,72.18582127528033,55.94782010299625,49.792352941176475,33.037378414500196,5.118490455403759,15.65863049655867,46.31443137254902,36.54054847311242,9.978856901152003,31.708155997327097,51.209411764705884,33.39015572970541,0.0,0.0
0.7,143.0,2550,32.609729411764704,25.3302896797513,71.9485015352929,57.40898948187505,32.609729411764704,25.3302896797513,71.9485015352929,57.40898948187505,48.91917647058824,33.34248759360408,5.051126073740172,15.037518329388435,44.8398431372549,36.80481264319768,12.187270461096459,39.12744856530566,50.24941176470588,33.816741265977385,0.0,0.0
0.75,133.0,2550,31.443772549019606,25.563269594402612,71.6038982502489,58.14566638883872,31.443772549019606,25.563269594402612,71.6038982502489,58.14566638883872,48.2153137254902,33.56859602395106,4.270898894540563,12.611037941980914,43.257019607843134,36.79731754582449,14.36737281247053,40.91790635642256,49.38823529411765,34.01051306356018,0.0,0.0
0.8,125.0,2550,30.289145098039217,25.60224055403725,70.83383146018917,58.296371285776075,30.289145098039217,25.60224055403725,70.83383146018917,58.296371285776075,47.51837254901961,33.64062814891191,3.288421920471299,9.152861719150216,41.13458823529411,36.89155000393986,17.259519436014536,42.78947114594544,48.470588235294116,34.00350670565361,0.0,0.0
0.85,118.0,2550,29.010968627450982,25.740677696545735,71.02196874207915,59.61267508505468,29.010968627450982,25.740677696545735,71.02196874207915,59.61267508505468,46.81737254901961,33.69220632167018,2.9250673520241275,7.7809095952766905,39.391960784313724,36.88925333808749,20.222556248758696,48.73407063892336,47.70823529411765,34.004514850518696,0.0,0.0
0.9,111.0,2550,27.007211764705882,25.58553972174898,72.43475081798381,62.23311753614433,27.007211764705882,25.58553972174898,72.43475081798381,62.23311753614433,45.931647058823536,33.70206661541607,2.306617907938013,5.3215495161974395,37.02933333333333,36.655787536863976,24.166755091670563,53.97012737761979,46.732549019607845,33.87380269749432,0.0,0.0
