L_over_D,D,total_windows,ROSS (greedy)_savings_mean,ROSS (greedy)_savings_std,ROSS (greedy)_overhead_opt_mean,ROSS (greedy)_overhead_opt_std,ROSS (uniform)_savings_mean,ROSS (uniform)_savings_std,ROSS (uniform)_overhead_opt_mean,ROSS (uniform)_overhead_opt_std,Uniform Progress_savings_mean,Uniform Progress_savings_std,Uniform Progress_overhead_opt_mean,Uniform Progress_overhead_opt_std,Greedy_savings_mean,Greedy_savings_std,Greedy_overhead_opt_mean,Greedy_overhead_opt_std,OPT_savings_mean,OPT_savings_std,OPT_overhead_opt_mean,OPT_overhead_opt_std
0.4,250.0,2550,47.719607843137254,32.537154144857425,57.887475288102024,91.0879667403389,47.51725490196078,43.2631090448796,35.25681312011746,51.04377591943399,47.57686274509804,43.171951837411164,35.16737805396326,50.7867947189747,58.355294117647055,31.65837561344742,10.340058892656502,23.059464560282112,62.37019607843137,28.74072968974184,0.0,0.0
0.45,222.0,2550,47.14823529411765,33.05673060153232,47.43213235328707,81.77549015550709,44.39921568627451,45.03353346829176,33.00821035027038,48.80805816694818,44.45764705882353,44.9441715817474,32.93483520985071,48.56471944661609,55.423529411764704,32.79508684050991,11.222838620203316,27.972129341366283,59.72392156862745,30.14354703346231,0.0,0.0
0.5,200.0,2550,46.61686274509804,33.169746875800705,40.621714814061356,70.57386178545535,42.24,46.503666817262705,30.4323910561743,43.00555683614883,42.13294117647059,46.624320561484524,30.594654488173997,42.77859417731154,53.0878431372549,34.25233195517571,11.03975284754673,26.782721414000612,57.67058823529412,31.38209364613463,0.0,0.0
0.55,182.0,2550,44.95725490196079,33.15629027230428,36.36759740039759,61.20514547712428,41.264078431372546,44.40133035272578,27.163227358646246,35.02908387143314,40.83019607843137,44.880534559143726,27.8227847543412,35.1795015168297,50.13803921568628,35.281515519203474,11.60163521342426,27.399957562468007,55.22196078431372,32.16829501230151,0.0,0.0
0.6,167.0,2550,34.15003921568628,24.259106517307476,76.64032492742163,57.070801343108855,34.15003921568628,24.259106517307476,76.64032492742163,57.070801343108855,40.12705882352941,43.37862866300426,22.652613816341773,28.0159068768954,47.06588235294117,35.7567891908804,12.701545116388038,31.18809683360664,52.665098039215685,32.77982158923018,0.0,0.0
0.65,154.0,2550,32.72094117647059,24.863348422938966,75.31646551056465,57.41219831201795,32.72094117647059,24.863348422938966,75.31646551056465,57.41219831201795,40.6756862745098,42.00207647784328,18.662357928689808,21.952759796706992,45.52901960784314,36.509484948376006,12.4877249230081,32.30335317014025,51.209411764705884,33.39015572970541,0.0,0.0
0.7,143.0,2550,31.681725490196083,25.247692873885647,74.92789177154285,58.920527459041644,31.681725490196083,25.247692873885647,74.92789177154285,58.920527459041644,41.276862745098036,40.52890972492308,16.567152465859834,19.858257892639838,44.117254901960784,36.73268748294003,14.568092077274615,39.70141908990858,50.24941176470588,33.816741265977385,0.0,0.0
0.75,133.0,2550,30.608000000000008,25.446065968139397,74.31363021169909,59.54216860016715,30.608000000000008,25.446065968139397,74.31363021169909,59.54216860016715,42.06941176470588,39.11819151618741,13.57745326676664,16.425952310414747,42.596862745098036,36.73001003561605,16.49692056185633,41.618211732088184,49.38823529411765,34.01051306356018,0.0,0.0
0.8,125.0,2550,29.492705882352944,25.483622763429633,73.37331793366586,59.59668213504667,29.492705882352944,25.483622763429633,73.37331793366586,59.59668213504667,42.56156862745098,37.841126261715495,10.919545293706383,12.557599420493881,40.539607843137254,36.883238658825235,19.10684906609421,43.81916809696034,48.470588235294116,34.00350670565361,0.0,0.0
0.85,118.0,2550,28.31788235294118,25.609254183386454,73.2502218721768,60.80364791593565,28.31788235294118,25.609254183386454,73.2502218721768,60.80364791593565,42.96078431372549,36.72818909086937,8.983375118560943,10.369792903252888,38.88078431372549,36.902281976473034,21.743124884637094,49.57854735712812,47.70823529411765,34.004514850518696,0.0,0.0
0.9,111.0,2550,26.40368627450981,25.503484155276492,74.31650450572091,63.311275143884274,26.40368627450981,25.503484155276492,74.31650450572091,63.311275143884274,43.2643137254902,35.57056423807896,6.633848260184177,7.840405119436964,36.606274509803924,36.71415765607639,25.333052090502893,54.69820209502107,46.732549019607845,33.87380269749432,0.0,0.0
