K,ROSS (greedy)_overhead_opt_mean,ROSS (greedy)_overhead_opt_std,ROSS (uniform)_overhead_opt_mean,ROSS (uniform)_overhead_opt_std,Uniform Progress_overhead_opt_mean,Uniform Progress_overhead_opt_std,Greedy_overhead_opt_mean,Greedy_overhead_opt_std
1.0,0.09999999999999432,0.0,0.29000000000000625,0.0,0.29999999999999716,0.0,0.18999999999999773,0.0
2.0,24.20000000000001,7.105427357601002e-15,7.579999999999996,2.6645352591003757e-15,7.599999999999994,0.0,0.37999999999999545,0.0
3.0,48.3,1.4210854715202004e-14,14.870000000000005,0.0,14.9,5.329070518200751e-15,0.5699999999999932,0.0
4.0,72.40000000000002,1.4210854715202004e-14,22.15999999999999,7.105427357601002e-15,22.20000000000001,7.105427357601002e-15,0.7600000000000051,0.0
5.0,96.5,0.0,29.45,1.0658141036401503e-14,29.5,0.0,0.950000000000003,0.0
6.0,120.59999999999997,2.842170943040401e-14,36.74000000000001,0.0,36.8,1.4210854715202004e-14,1.1400000000000006,0.0
7.0,144.69999999999996,2.842170943040401e-14,44.029999999999994,7.105427357601002e-15,44.09999999999998,1.4210854715202004e-14,1.3299999999999983,0.0
8.0,168.80000000000004,2.842170943040401e-14,51.31999999999997,1.4210854715202004e-14,51.40000000000001,1.4210854715202004e-14,1.519999999999996,0.0
9.0,192.89999999999992,5.684341886080802e-14,58.61000000000004,2.1316282072803006e-14,58.7,1.4210854715202004e-14,1.7099999999999937,0.0
10.0,217.0,0.0,65.90000000000002,1.4210854715202004e-14,66.0,0.0,1.900000000000006,0.0
